file_id,source_file,owner,repo,repo_full_name
0,1122-NCCU-DataScienceInService__finalproject-group3__.Rhistory__00d62d0a817c.Rhistory,1122-NCCU-DataScienceInService,finalproject-group3,1122-NCCU-DataScienceInService/finalproject-group3
1,3lkku__Bayesian_analysis__BA2_Midterm_.Rhistory__04d4babacc93.Rhistory,3lkku,Bayesian_analysis,3lkku/Bayesian_analysis
2,A1arcon__R_Actuarial___Apoyo_para_cursos_y_congresos__2._R_Intermedio_SQL_datos_.Rhistory__05ee2ab1a035.Rhistory,A1arcon,R_Actuarial,A1arcon/R_Actuarial
3,AAV77__Dissertation-AV__.Rhistory__04d249959c74.Rhistory,AAV77,Dissertation-AV,AAV77/Dissertation-AV
4,ADBI-george2__R-tutorial__R-Tutorial-george2_Rhistory.11.Control_flow.Rhistory__02fa4ef33af3.Rhistory,ADBI-george2,R-tutorial,ADBI-george2/R-tutorial
5,ADBI-george2__R-tutorial__R-Tutorial-george2_Rhistory.18.Loops.Rhistory__043e37416f3d.Rhistory,ADBI-george2,R-tutorial,ADBI-george2/R-tutorial
6,ADernild__distill_blog_dernild.com__docs_.Rhistory__013fec273410.Rhistory,ADernild,distill_blog_dernild.com,ADernild/distill_blog_dernild.com
7,ALaks96__Kaggle_competition_Restaurant_Visit_Forecast__shiny_app_.Rhistory__01d8e8d96b64.Rhistory,ALaks96,Kaggle_competition_Restaurant_Visit_Forecast,ALaks96/Kaggle_competition_Restaurant_Visit_Forecast
8,ASAGlab__Regulated-IRE1-dependent-decay-RIDD-mediated-reprograming-of-lipid-metabolism-in-cancer__Data_.Rhistory__00665c841a73.Rhistory,ASAGlab,Regulated-IRE1-dependent-decay-RIDD-mediated-reprograming-of-lipid-metabolism-in-cancer,ASAGlab/Regulated-IRE1-dependent-decay-RIDD-mediated-reprograming-of-lipid-metabolism-in-cancer
9,ASKurz__Doing-Bayesian-Data-Analysis-in-brms-and-the-tidyverse__.Rhistory__Solomon_s_MacBook_Pro_s_conflicted_copy_2020-01-19___0635cfa50299.Rhistory,ASKurz,Doing-Bayesian-Data-Analysis-in-brms-and-the-tidyverse,ASKurz/Doing-Bayesian-Data-Analysis-in-brms-and-the-tidyverse
10,AaronZheng87__Graduation_Project__Analysis_R_code_.Rhistory__036316917d6c.Rhistory,AaronZheng87,Graduation_Project,AaronZheng87/Graduation_Project
11,AbitathaRoy__AI-Job-Matching__.Rhistory__02359a42314c.Rhistory,AbitathaRoy,AI-Job-Matching,AbitathaRoy/AI-Job-Matching
